Variable Name,Friendly Name,Category,Subcategory,Definition,Data Type,Example Value,Allowed Values,Required,Tealium Variable Type,Tealium Variable Name,AWS Field Name,Sent to AWS,Contains PII,PII Classification,Source System,Owner,Status,Business Criticality,Journey,Schema Version,Deprecated Replacement,Notes,Date Added,Last Updated
visitor_asset_plan_name_active,Visitor Asset Plan Name Active,Visitor,Visitor,Name of the customer's currently active plan associated with the event.,String,,,False,UDO Variable,visitor_asset_plan_name_active,visitor_asset_plan_name_active,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_asset_plan_type_active,Visitor Asset Plan Type Active,Visitor,Visitor,Type of the customer's currently active plan associated with the event.,String,,,False,UDO Variable,visitor_asset_plan_type_active,visitor_asset_plan_type_active,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_addon_type_active,Visitor Addon Type Active,Visitor,Visitor,Type of active add-on associated with the customer when the event occurs.,String,,,False,UDO Variable,visitor_addon_type_active,visitor_addon_type_active,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
event_action,Event Action,Event,Event,Action performed by the customer or system for the tracked event.,String,,,False,UDO Variable,event_action,event_action,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-11
event_category,Event Category,Event,Event,High-level category used to group similar analytics events.,String,,,False,UDO Variable,event_category,event_category,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-11
event_label,Event Label,Event,Event,Descriptive label providing additional context for the analytics event.,String,,,False,UDO Variable,event_label,event_label,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-11
event_value,Event Value,Event,Event,Value associated with the event when additional event-level context is required.,String,,,False,UDO Variable,event_value,event_value,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-11
search_terms,Search Terms,Search,Search,Search term or phrase entered by the customer.,String,,,False,UDO Variable,search_terms,search_terms,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
search_results,Search Results,Search,Search,Number of results returned for the customer's search.,Integer,,,False,UDO Variable,search_results,search_results,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
search_category,Search Category,Search,Search,Category or scope in which the customer performed the search.,String,,,False,UDO Variable,search_category,search_category,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
payment_method,Payment Method,Transaction,Transaction Extended,Payment method selected or used by the customer.,String,,,False,UDO Variable,payment_method,payment_method,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
payment_preference,Payment Preference,Transaction,Transaction Extended,Customer's selected or stored payment preference.,String,,,False,UDO Variable,payment_preference,payment_preference,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tender_type,Tender Type,Transaction,Transaction Extended,Tender or funding type used to complete the payment.,String,,,False,UDO Variable,tender_type,tender_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
promotion_code_name,Promotion Code Name,Transaction,Transaction Extended,Name or code of the promotion applied to the transaction.,String,,,False,UDO Variable,promotion_code_name,promotion_code_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
promotional_code_description,Promotional Code Description,Transaction,Transaction Extended,Description of the promotion code applied to the transaction.,String,,,False,UDO Variable,promotional_code_description,promotional_code_description,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
order_status,Order Status,Transaction,Transaction Extended,Current status of the order associated with the event.,String,,,False,UDO Variable,order_status,order_status,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
cash_out_value,Cash Out Value,Transaction,Transaction Extended,Monetary value associated with a cash-out transaction.,Decimal,,,False,UDO Variable,cash_out_value,cash_out_value,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
video_name,Video Name,Video,Video,Name or title of the video being viewed.,String,,,False,UDO Variable,video_name,video_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
video_url,Video URL,Video,Video,URL of the video being viewed.,String,,,False,UDO Variable,video_url,video_url,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
video_time_total,Video Time Total,Video,Video,Total duration of the video.,Decimal,,,False,UDO Variable,video_time_total,video_time_total,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
video_time_played,Video Time Played,Video,Video,Amount of video playback time completed by the customer.,Decimal,,,False,UDO Variable,video_time_played,video_time_played,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
video_playback_percent,Video Playback Percent,Video,Video,Percentage of the video watched by the customer.,Decimal,,,False,UDO Variable,video_playback_percent,video_playback_percent,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
qr_type,QR Type,Event,QR,Type of QR code involved in the interaction.,String,,,False,UDO Variable,qr_type,qr_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
qr_category,QR Category,Event,QR,Category used to classify the QR code interaction.,String,,,False,UDO Variable,qr_category,qr_category,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tool_name,Tool Name,Event,Tool,Name of the digital tool or calculator used by the customer.,String,,,False,UDO Variable,tool_name,tool_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tool_type,Tool Type,Event,Tool,Type or category of the digital tool used by the customer.,String,,,False,UDO Variable,tool_type,tool_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tool_input,Tool Input,Event,Tool,Input supplied by the customer to the digital tool.,String,,,False,UDO Variable,tool_input,tool_input,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tool_results,Tool Results,Event,Tool,Result returned by the digital tool after processing the customer's input.,String,,,False,UDO Variable,tool_results,tool_results,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
lending_bank_name,Lending Bank Name,Journey,Lending,Name of the lending bank associated with the offer.,String,,,False,UDO Variable,lending_bank_name,lending_bank_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
lending_offer_name,Lending Offer Name,Journey,Lending,Name of the lending offer presented or selected by the customer.,String,,,False,UDO Variable,lending_offer_name,lending_offer_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
loan_amount,Loan Amount,Journey,Lending,"Loan amount requested, offered or selected by the customer.",Decimal,,,False,UDO Variable,loan_amount,loan_amount,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
loan_period,Loan Period,Journey,Lending,Loan term or repayment period associated with the lending journey.,String,,,False,UDO Variable,loan_period,loan_period,No,No,,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
loan_reason,Loan Reason,Journey,Lending,Reason selected or provided by the customer for requesting the loan.,String,,,False,UDO Variable,loan_reason,loan_reason,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
cover_amount,Cover Amount,Journey,Lending,Insurance or protection cover amount selected or associated with the customer.,Decimal,,,False,UDO Variable,cover_amount,cover_amount,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
employment_start,Employment Start,Journey,Lending,Customer's employment start date captured during an application journey.,Date,,,False,UDO Variable,employment_start,employment_start,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
employment_end,Employment End,Journey,Lending,Customer's employment end date captured during an application journey when applicable.,Date,,,False,UDO Variable,employment_end,employment_end,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
monthly_expenses,Monthly Expenses,Journey,Lending,Customer's declared monthly expenses captured during an application journey.,Decimal,,,False,UDO Variable,monthly_expenses,monthly_expenses,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
smme_monthly_income,SMME Monthly Income,Journey,Lending,Declared monthly income for the SMME customer or business.,Decimal,,,False,UDO Variable,smme_monthly_income,smme_monthly_income,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
smme_bca_payment_period,SMME BCA Payment Period,Journey,Lending,Repayment period selected by an SMME customer for paying back a Business Cash Advance loan.,String,6 months,,False,UDO Variable,smme_bca_payment_period,smme_bca_payment_period,No,No,,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
smme_source_of_funds,SMME Source Of Funds,Journey,Lending,Declared source of funds for the SMME customer or business.,String,,,False,UDO Variable,smme_source_of_funds,smme_source_of_funds,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
smme_source_of_wealth,SMME Source Of Wealth,Journey,Lending,Declared source of wealth for the SMME customer or business.,String,,,False,UDO Variable,smme_source_of_wealth,smme_source_of_wealth,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
citizenship_type,Citizenship Type,Journey,Lending,Citizenship classification selected or associated with the customer.,String,,,False,UDO Variable,citizenship_type,citizenship_type,Yes,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,nan,,2026-09-07,2026-09-11
otp_method,OTP Method,Journey,Lending,Method used to deliver or complete one-time-password verification.,String,,,False,UDO Variable,otp_method,otp_method,No,No,,Website / App,Digital Analytics,Draft,Medium,Lending / SMME,1.0,,,2026-09-07,2026-09-07
goal_status,Goal Status,Journey,Rewards,Current status of a customer goal in the rewards experience.,String,,,False,UDO Variable,goal_status,goal_status,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
goal_description,Goal Description,Journey,Rewards,Description of the customer goal in the rewards experience.,String,,,False,UDO Variable,goal_description,goal_description,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
reward_description,Reward Description,Journey,Rewards,"Description of the reward presented, earned or redeemed by the customer.",String,,,False,UDO Variable,reward_description,reward_description,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
box_type,Box Type,Journey,Rewards,Type of reward box presented in the rewards journey.,String,Daily Reward Box,,False,UDO Variable,box_type,box_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
daily_unbox_type,Daily Unbox Type,Journey,Rewards,Type of daily reward unboxing experience presented to the customer.,String,Daily Spin,,False,UDO Variable,daily_unbox_type,daily_unbox_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
unbox_method,Unbox Method,Journey,Rewards,Method used by the customer to unbox or reveal a reward in the rewards journey.,String,Tap to reveal,,False,UDO Variable,unbox_method,unbox_method,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
retailer_type,Retailer Type,Journey,Rewards,Retailer category or type associated with the reward or redemption.,String,,,False,UDO Variable,retailer_type,retailer_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
vb_price,VodaBucks Price,Journey,Rewards,VodaBucks price required to purchase or redeem the associated reward or item.,Decimal,250,,False,UDO Variable,vb_price,vb_price,No,No,,Website / App,Digital Analytics,Draft,Medium,Rewards,1.0,,,2026-09-07,2026-09-07
support_cause_name,Support Cause Name,Journey,Support,Reason or cause associated with the customer's support request.,String,,,False,UDO Variable,support_cause_name,support_cause_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Support,1.0,,,2026-09-07,2026-09-07
support_escalation_type,Support Escalation Type,Journey,Support,Type of escalation applied to a customer support interaction.,String,,,False,UDO Variable,support_escalation_type,support_escalation_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Support,1.0,,,2026-09-07,2026-09-07
chat_agent_id,Chat Agent ID,Journey,Support,Identifier of the support agent involved in the chat interaction.,String,,,False,UDO Variable,chat_agent_id,chat_agent_id,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Support,1.0,,,2026-09-07,2026-09-07
chat_trigger,Chat Trigger,Journey,Support,Trigger that initiated the customer support chat.,String,,,False,UDO Variable,chat_trigger,chat_trigger,No,No,,Website / App,Digital Analytics,Draft,Medium,Support,1.0,,,2026-09-07,2026-09-07
chat_total_time,Chat Total Time,Journey,Support,Total duration of the customer support chat.,Decimal,,,False,UDO Variable,chat_total_time,chat_total_time,No,No,,Website / App,Digital Analytics,Draft,Medium,Support,1.0,,,2026-09-07,2026-09-07
survey_name,Survey Name,Event,Survey,Name of the survey presented to the customer.,String,,,False,UDO Variable,survey_name,survey_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
survey_id,Survey ID,Event,Survey,Identifier of the survey presented to the customer.,String,,,False,UDO Variable,survey_id,survey_id,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
survey_score_nps,Survey Score NPS,Event,Survey,Net Promoter Score value submitted by the customer.,Integer,,,False,UDO Variable,survey_score_nps,survey_score_nps,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
survey_response,Survey Response,Event,Survey,Free-text or structured response submitted by the customer in the survey.,String,,,False,UDO Variable,survey_response,survey_response,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
browser_width,Browser Width,Device,Device,Width of the browser viewport in pixels when the event occurred.,Integer,,,False,UDO Variable,browser_width,browser_width,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
browser_height,Browser Height,Device,Device,Height of the browser viewport in pixels when the event occurred.,Integer,,,False,UDO Variable,browser_height,browser_height,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
resolution,Resolution,Device,Device,Screen resolution reported by the customer's device.,String,,,False,UDO Variable,resolution,resolution,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
color_depth,Color Depth,Device,Device,Screen color depth reported by the customer's browser or device.,Integer,,,False,UDO Variable,color_depth,color_depth,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
camera_status,Camera Status,Device,Device,Status of camera access or availability when relevant to the journey.,String,granted,,False,UDO Variable,camera_status,camera_status,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
page_error,Page Error,Errors,Errors,Error message or code encountered while loading or using a page or screen.,String,,,False,UDO Variable,page_error,page_error,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
event_error,Event Error,Errors,Errors,Error message or code associated with a tracked event.,String,,,False,UDO Variable,event_error,event_error,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
form_error,Form Error,Errors,Errors,Error message or code encountered while completing a form.,String,,,False,UDO Variable,form_error,form_error,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tool_error,Tool Error,Errors,Errors,Error message or code encountered while using a digital tool.,String,,,False,UDO Variable,tool_error,tool_error,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_id,Campaign External ID,Campaign,Campaign,Id associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_id,campaign_external_id,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_internal_id,Campaign Internal ID,Campaign,Campaign,Id associated with an internal onsite or in-app campaign used for attribution.,String,,,False,UDO Variable,campaign_internal_id,campaign_internal_id,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
tracking_code,Tracking Code,Campaign,Campaign,"Tracking code used to attribute a visit, session or event to a marketing campaign.",String,,,False,UDO Variable,tracking_code,tracking_code,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
referrer,Referrer,Campaign,Campaign,Referring URL or source that directed the visitor to the digital experience.,String,,,False,UDO Variable,referrer,referrer,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_content,Campaign External Content,Campaign,Campaign,Content associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_content,campaign_external_content,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_medium,Campaign External Medium,Campaign,Campaign,Medium associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_medium,campaign_external_medium,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_name,Campaign External Name,Campaign,Campaign,Name associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_name,campaign_external_name,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_source,Campaign External Source,Campaign,Campaign,Source associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_source,campaign_external_source,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_term,Campaign External Term,Campaign,Campaign,Term associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_term,campaign_external_term,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_visitor_type,Campaign External Visitor Type,Campaign,Campaign,Visitor type associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_visitor_type,campaign_external_visitor_type,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_journey_phase,Campaign External Journey Phase,Campaign,Campaign,Journey phase associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_journey_phase,campaign_external_journey_phase,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_type,Campaign External Type,Campaign,Campaign,Type associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_type,campaign_external_type,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
campaign_external_version,Campaign External Version,Campaign,Campaign,Version associated with an external marketing campaign used for acquisition or attribution.,String,,,False,UDO Variable,campaign_external_version,campaign_external_version,No,No,,Marketing / Tealium,Marketing Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
